text,clean_text,label
จะแบบไหนก็แย่ทั้งนั้น,จะแบบไหนก็แย่ทั้งนั้น,1
เขาอยากจะทิ้งกายกลับไปพักผ่อนที่บ้านมากกว่าแทนที่จะออกไปตระเวนไปเบียดเสียดกับคนด้านนอกเงียบเลย,เขาอยากจะทิ้งกายกลับไปพักผ่อนที่บ้านมากกว่าแทนที่จะออกไปตระเวนไปเบียดเสียดกับคนด้านนอกเงียบเลย,0
เธอชอบกินมายองเนสสิ่งที่เธอชอบกิน,เธอชอบกินมายองเนสสิ่งที่เธอชอบกิน,0
นั่นจะส่งผลให้อาการซึมเศร้าของฉันกลับมารุนแรงอีกครั้ง,นั่นจะส่งผลให้อาการซึมเศร้าของฉันกลับมารุนแรงอีกครั้ง,1
โดยเฉพาะพ่อแม่,โดยเฉพาะพ่อแม่,1
มีแสงรำไรให้ท้องฟ้ายังพอมีสีแต่อีกไม่กี่นาทีต่อมาก็มืดสนิทถ้าเป็นไปได้,มีแสงรำไรให้ท้องฟ้ายังพอมีสีแต่อีกไม่กี่นาทีต่อมาก็มืดสนิทถ้าเป็นไปได้,0
ทุกคนน่าสงสารและป่วยเหมือนกับพวกคุณสำหรับพยาบาลแผนกนี้,ทุกคนน่าสงสารและป่วยเหมือนกับพวกคุณสำหรับพยาบาลแผนกนี้,1
เขามาหยุดอยู่ตรงหน้าผมจ้องเขม็งอ้าปากพะงาบเหมือนจะพูดอะไรที่สำคัญมากแต่แล้วก็อึกอักเก็บกลืน,เขามาหยุดอยู่ตรงหน้าผมจ้องเขม็งอ้าปากพะงาบเหมือนจะพูดอะไรที่สำคัญมากแต่แล้วก็อึกอักเก็บกลืน,0
เขาเอ็นดูความหวานหยาดเยิ้มของเธอ,เขาเอ็นดูความหวานหยาดเยิ้มของเธอ,0
เราวาดเยอะจนครูส่งไปประกวดเสมอ,เราวาดเยอะจนครูส่งไปประกวดเสมอ,1
สุดท้ายแล้วนั่นคือการตัดสินใจที่ผิดพลาดและเสียเวลากับการต้องมานั่งบรรจงใส่รองเท้าโดยใช่เหตุ,สุดท้ายแล้วนั่นคือการตัดสินใจที่ผิดพลาดและเสียเวลากับการต้องมานั่งบรรจงใส่รองเท้าโดยใช่เหตุ,0
ไม่เช่นนั้นมันคงไม่มีผลงานที่ดีกว่าเดิมได้,ไม่เช่นนั้นมันคงไม่มีผลงานที่ดีกว่าเดิมได้,0
ลัดเลาะไปตามความมืดเพื่อไม่ให้ใครเห็นและอากงก็มาถึง,ลัดเลาะไปตามความมืดเพื่อไม่ให้ใครเห็นและอากงก็มาถึง,0
คุณโทษเราคิดว่าคนเป็นแค่สัตว์,คุณโทษเราคิดว่าคนเป็นแค่สัตว์,0
ใช้ชีวิตให้เต็มที่,ใช้ชีวิตให้เต็มที่,0
เป็นการตอบสนองที่ดึกดำบรรพ์ที่สุดของมนุษย์,เป็นการตอบสนองที่ดึกดำบรรพ์ที่สุดของมนุษย์,0
เธอสวมรองเท้าพร้อมออกจากบ้านอย่างเร่งรวด,เธอสวมรองเท้าพร้อมออกจากบ้านอย่างเร่งรวด,0
ผมมัวแต่ห่วงสติห่วงกายกลัวไม่แข็งแรงกลัวไม่มีสติไม่เคยห่วงเลยว่าใจผมเป็นอย่างไร,ผมมัวแต่ห่วงสติห่วงกายกลัวไม่แข็งแรงกลัวไม่มีสติไม่เคยห่วงเลยว่าใจผมเป็นอย่างไร,1
มันจึงไม่เคยเติบโตและพยายามเรียกร้องการยอมรับตลอดเวลาและตั้งแต่นั้นเราก็สร้างความสัมพันธ์ทางความรู้สึกแบบเดียวกันกับทุกคน,มันจึงไม่เคยเติบโตและพยายามเรียกร้องการยอมรับตลอดเวลาและตั้งแต่นั้นเราก็สร้างความสัมพันธ์ทางความรู้สึกแบบเดียวกันกับทุกคน,1
พวกเราอยู่ในสังคมเดียวกันมานานเกินไป,พวกเราอยู่ในสังคมเดียวกันมานานเกินไป,1
ขาดสมาธิไปซะดื้อๆอย่างนั้น,ขาดสมาธิไปซะดื้อๆอย่างนั้น,1
แล้วผมก็บอกเธอว่าหนังสือโน้ตเพลงจะเอามาให้เมี่ยงเลือกว่าจะเล่นเพลงไหนหมายความว่าไงหมายความว่าเดี๋ยวเราจะต้องขึ้นไปเล่นเพลงกันบนเวทีเรานี่หมายถึงเมี่ยงด้วยใช่มั้ยก็ใช่น่ะสิเห็นเปียโนไฟฟ้าบนเวทีนั่นมั้ยพี่ยกให้เมี่ยงเล่นเลยนะ,แล้วผมก็บอกเธอว่าหนังสือโน้ตเพลงจะเอามาให้เมี่ยงเลือกว่าจะเล่นเพลงไหนหมายความว่าไงหมายความว่าเดี๋ยวเราจะต้องขึ้นไปเล่นเพลงกันบนเวทีเรานี่หมายถึงเมี่ยงด้วยใช่มั้ยก็ใช่น่ะสิเห็นเปียโนไฟฟ้าบนเวทีนั่นมั้ยพี่ยกให้เมี่ยงเล่นเลยนะ,0
เราก็ไม่ได้ผิด,เราก็ไม่ได้ผิด,0
อยากให้อ่านเรื่องราวของผมที่อาจจะยาวสักหน่อย,อยากให้อ่านเรื่องราวของผมที่อาจจะยาวสักหน่อย,1
แม้ว่าจะไม่ได้ออกแรงทำอะไรเลย,แม้ว่าจะไม่ได้ออกแรงทำอะไรเลย,1
ตัวตนของฉันคนนั่นมันฟ่อนเฟะเต็มทีแล้วฉันจะเลือกทางเดินของฉันเอง,ตัวตนของฉันคนนั่นมันฟ่อนเฟะเต็มทีแล้วฉันจะเลือกทางเดินของฉันเอง,1
ขอบคุณที่โตขึ้น,ขอบคุณที่โตขึ้น,0
ไม่ว่าการตัดสินใจนี้จะเป็นตามที่สังคมเห็นพ้องหรือเราจะขบถแต่หากเกิดความผิดพลาดหรือไม่ก็ตาม,ไม่ว่าการตัดสินใจนี้จะเป็นตามที่สังคมเห็นพ้องหรือเราจะขบถแต่หากเกิดความผิดพลาดหรือไม่ก็ตาม,0
ทุกอย่างอยู่ที่สติและกายใจที่ต้องเตรียมให้ดีในตอนที่เรายังดีดีอยู่ว่าควรฝึกให้รู้ก่อนนะว่าให้รู้ตัวอาการก่อนจะเกิดต้องรีบตัดออกมาจากตรงนั้นให้ได้ก่อนแม้นจะไม่ได้ทุกครั้งแต่อย่างน้อยสิบครั้งตัดได้รู้ตัวได้ก่อนอาการเกิดสักครั้งก็ยังดี,ทุกอย่างอยู่ที่สติและกายใจที่ต้องเตรียมให้ดีในตอนที่เรายังดีดีอยู่ว่าควรฝึกให้รู้ก่อนนะว่าให้รู้ตัวอาการก่อนจะเกิดต้องรีบตัดออกมาจากตรงนั้นให้ได้ก่อนแม้นจะไม่ได้ทุกครั้งแต่อย่างน้อยสิบครั้งตัดได้รู้ตัวได้ก่อนอาการเกิดสักครั้งก็ยังดี,1
ถ้าลูกสาวฉันไปรักกับคนอื่นที่ไม่ใช่ไอ้ขี้เมาแบบแกเธอก็คงไม่ตายผมขอโทษชายหนุ่มเอ่ยออกมาขบวนรถไฟยังคงเคลื่อนต่อไปเรื่อยๆพร้อมเสียงหวูดที่ดังเกือบตลอดเวลาแข่งกับเสียงฟ้าร้องฟ้าผ่าท่ามกลางดวงตาของพายุฝนป๊าป๊าหนูอยากไปสวนสัตว์ป๊าบอกจะพาไปแต่ไม่ได้ไปเลย,ถ้าลูกสาวฉันไปรักกับคนอื่นที่ไม่ใช่ไอ้ขี้เมาแบบแกเธอก็คงไม่ตายผมขอโทษชายหนุ่มเอ่ยออกมาขบวนรถไฟยังคงเคลื่อนต่อไปเรื่อยๆพร้อมเสียงหวูดที่ดังเกือบตลอดเวลาแข่งกับเสียงฟ้าร้องฟ้าผ่าท่ามกลางดวงตาของพายุฝนป๊าป๊าหนูอยากไปสวนสัตว์ป๊าบอกจะพาไปแต่ไม่ได้ไปเลย,0
